Date,Value
1/1/2017,2275.12
1/1/2016,1918.6
1/1/2015,2028.18
1/1/2014,1822.36
1/1/2013,1480.4
1/1/2012,1300.58
1/1/2011,1282.62
1/1/2010,1123.58
1/1/2009,865.58
1/1/2008,1378.76
1/1/2007,1424.16
1/1/2006,1278.73
1/1/2005,1181.41
1/1/2004,1132.52
1/1/2003,895.84
1/1/2002,1140.21
1/1/2001,1335.63
1/1/2000,1425.59
1/1/1999,1248.77
1/1/1998,963.36
1/1/1997,766.22
1/1/1996,614.42
1/1/1995,465.25
1/1/1994,472.99
1/1/1993,435.23
1/1/1992,416.08
1/1/1991,325.49
1/1/1990,339.97
1/1/1989,285.4
1/1/1988,250.5
1/1/1987,264.5
1/1/1986,208.2
1/1/1985,171.6
1/1/1984,166.4
1/1/1983,144.3
1/1/1982,117.3
1/1/1981,133
1/1/1980,110.9
1/1/1979,99.71
1/1/1978,90.25
1/1/1977,103.8
1/1/1976,96.86
1/1/1975,72.56
1/1/1974,96.11
1/1/1973,118.4
1/1/1972,103.3
1/1/1971,93.49
1/1/1970,90.31
1/1/1969,102
1/1/1968,95.04
1/1/1967,84.45
1/1/1966,93.32
1/1/1965,86.12
1/1/1964,76.45
1/1/1963,65.06
1/1/1962,69.07
1/1/1961,59.72
1/1/1960,58.03
1/1/1959,55.62
1/1/1958,41.12
1/1/1957,45.43
1/1/1956,44.15
1/1/1955,35.6
1/1/1954,25.46
1/1/1953,26.18
1/1/1952,24.19
1/1/1951,21.21
1/1/1950,16.88
1/1/1949,15.36
1/1/1948,14.83
1/1/1947,15.21
1/1/1946,18.02
1/1/1945,13.49
1/1/1944,11.85
1/1/1943,10.09
1/1/1942,8.93
1/1/1941,10.55
1/1/1940,12.3
1/1/1939,12.5
1/1/1938,11.31
1/1/1937,17.59
1/1/1936,13.76
1/1/1935,9.26
1/1/1934,10.54
1/1/1933,7.09
1/1/1932,8.3
1/1/1931,15.98
1/1/1930,21.71
1/1/1929,24.86
1/1/1928,17.53
1/1/1927,13.4
1/1/1926,12.65
1/1/1925,10.58
1/1/1924,8.83
1/1/1923,8.9
1/1/1922,7.3
1/1/1921,7.11
1/1/1920,8.83
1/1/1919,7.85
1/1/1918,7.21
1/1/1917,9.57
1/1/1916,9.33
1/1/1915,7.48
1/1/1914,8.37
1/1/1913,9.3
1/1/1912,9.12
1/1/1911,9.27
1/1/1910,10.08
1/1/1909,9.06
1/1/1908,6.85
1/1/1907,9.56
1/1/1906,9.87
1/1/1905,8.43
1/1/1904,6.68
1/1/1903,8.46
1/1/1902,8.12
1/1/1901,7.07
1/1/1900,6.1
1899-01-01,6.08
1898-01-01,4.88
1897-01-01,4.22
1896-01-01,4.27
1895-01-01,4.25
1894-01-01,4.32
1893-01-01,5.61
1892-01-01,5.51
1891-01-01,4.84
1890-01-01,5.38
1889-01-01,5.24
1888-01-01,5.31
1887-01-01,5.58
1886-01-01,5.2
1885-01-01,4.24
1884-01-01,5.18
1883-01-01,5.81
1882-01-01,5.92
1881-01-01,6.19
1880-01-01,5.11
1879-01-01,3.58
1878-01-01,3.25
1877-01-01,3.55
1876-01-01,4.46
1875-01-01,4.54
1874-01-01,4.66
1873-01-01,5.11
1872-01-01,4.86
1871-01-01,4.44
